Accuracy: Ranger,					2 lvl, 1 varlık seç 2 tur boyunca vuruşunu kaçırmasın, V,S ( Kahve Çekirdeği )

Aura of Privilege: Cleric				4 lvl, 24 saat boyunca süren bir büyü yaparsın, süre boyunca asla saldırı almazsın tuzaklara yakalanmazsın, V,S,M ( Yakut Parçası, Mürekkep )

Awaken: Bard,Druid,					3 lvl, yeterince aptal hayvan ya da bitki seç 30 gün boyunca sana hizmet edicek, V,S,M ( Agat Taşı )

Bestow-Curse: Bard,Cleric,Wizard,			2 lvl, 1 varlık seç ve lanetle INT throw da başarılı olursa büyü işlemez eğer lanetliyse saldırı hasarı yarıya düşer ve 1d6 fazladan hasar alır, V,S

Bless: Cleric,Paladin,					1 lvl, 2 varlık seç ve 3 tur boyunca saving throwlarına 1d4 eklesin, V,S,M ( Kutsal Su )

Blind-Deaf: Bard,Cleric,Sorcerer,Wizard,		1 lvl, 1 varlık seç ve 2 etkiden birini seç CON throw da başarılı olursa kurtulur kurtulamazsa 3 tur boyunca etki altında kalır, V

Cloning: Wizard,					4 lvl, 1 varlık seç ve onu klonla varlık 120 gün içinde tam olgunluğa erişir ve orjinal varlık ölürse ruhu klona geçer, V,S,M ( Elmas, Varlığım Eti, Mühürlü Kadim Sişe )

Charm: Bard,Druid,Sorcerer,Warlock, 			3 lvl, 1 varlık seç ve onu 3 tur boyunca cezbet CHA throw da başarılı olursa kurtulur, V,S

Death-Ward: Cleric,Paladin,				2 lvl, 1 varlık seç bu büyü etkisinde olan varlık 8 saat boyunca HPsi 0 a düşerse ölmez ve +1 HP alır büyü sonlanır, V,S

Decoy: Sorcerer,					4 lvl, levelin/2-1 kadar kopyanı yaratırsın her turda 1 kopyan ölür sana saldıran d20 atar başaramazsa sana vuramaz, V,S,M ( Kuvars Ayna, Elmas )

Defence-Breaker: Bard,Cleric,Paladin,Sorcerer,Wizard,	5 lvl, 8 saat boyunca karşına çıkan bütün düşmanlarının zırhları yok olur ve her turda 2d6 hazar alırlar, V,S,M ( Kral Suyu )

Defraud: Bard,Sorcerer,					4 lvl, 1 varlık seç INT throwda başarısız olursa dolandırılmış sayılır düşmanlarının parasını çalabilirsin, V

Dimension-Changer: Sorcerer,Warlock,Wizard,		2 lvl, 15d aralıkta 2 nokta belirle, giriş noktasına 1 uzaklıkta olan bütün varlıklar 2 noktadan dışarı çıkarlar ve çıkış işgal altındaysa 4d6 hasar alırlar, V  

Disguise: Bard,Sorcerer,Wizard,				1 lvl, 4 saat üst limit olmak üzere istediğin kılığa gir ancak girdiğin kılıktaki varlık senden ne kadar farklıysa büyü o kadar kısa sürer, V,S,M ( Varlığa ait birşey )

Dissonant-Whispers: Bard,				1 lvl, 1 varlık seç ve onun duyabileceği bir şarkı söyle INT throw da başarısız olursa 3d6 hazar alır ve 4d uzaklaşır, başarılı olursa 1d6 hazar alır ve uzaklaşmaz, V

Domination: Bard,Druid,Sorcerer,Warlock,Wizard,		5 lvl, 1 varlık seç ve ona hükmet istediğini yaptır en güçlü varlıklar için 2 tur en güçsüzler için 8 saat sürer, V,S

Encouragement: Bard,Cleric,Paladin,			3 lvl, 2 varlık seç ve onları cesaretlendir 3 tur boyunca +4 STR +4 CON eklensin, V

Enthrall: Bard,Warlock, 				1 lvl, 4d menzilde bir nokta seç ve o noktaya 2d den yakın olan bütün varlıklar seni ve çevrendekileri fark etmez, INT throw da başarılı olursa büyü başarısız olur, V,S

Feign-Death: Bard,Cleric,Druid,				2 lvl, 8 saat boyunca ölü taklidi yaparsın saldıramazsın ya da saldırı almazsın etkiden hemen kurtulmak için d20 at,  V,S,M ( Mezar Toprağı )

Fart: Druid,Warlock,					1 lvl, 1 varlık seç ve osuruğunla onu uzaklaştır, S

Fear: Bard,Druid,Warlock,Wizard,			2 lvl, karşındaki varlık sende en kötü rüyasını görür ve INT throw atar başarısız olursa alandan ayrılır başarılı olursa büyü sonlanır, V,S,M ( Tavşan Kalbi )

Fog: Druid,Ranger,Sorcerer,Wizard,			1 lvl, 1 saat boyunca sürecek sis yaratırsın bu gizlenmenize yardımcı olur çevredeki varlıklar her turda WIS throw atar başarırlarsa büyü sona erer, V,S		

